method,rank,num_lora_modules,mean_rank_90,mean_rank_95,mean_rank_99,min_rank_90,max_rank_90,min_rank_95,max_rank_95,min_rank_99,max_rank_99,mean_entropy_effective_rank,mean_normalized_entropy_effective_rank,mean_stable_rank,mean_numerical_rank,q_proj_mean_rank_90,q_proj_mean_rank_95,q_proj_mean_rank_99,q_proj_mean_entropy_effective_rank,q_proj_mean_normalized_entropy_effective_rank,q_proj_mean_stable_rank,k_proj_mean_rank_90,k_proj_mean_rank_95,k_proj_mean_rank_99,k_proj_mean_entropy_effective_rank,k_proj_mean_normalized_entropy_effective_rank,k_proj_mean_stable_rank,v_proj_mean_rank_90,v_proj_mean_rank_95,v_proj_mean_rank_99,v_proj_mean_entropy_effective_rank,v_proj_mean_normalized_entropy_effective_rank,v_proj_mean_stable_rank,o_proj_mean_rank_90,o_proj_mean_rank_95,o_proj_mean_rank_99,o_proj_mean_entropy_effective_rank,o_proj_mean_normalized_entropy_effective_rank,o_proj_mean_stable_rank
lora,4,112,2.0089285714285716,2.607142857142857,3.75,1,4,1,4,2,4,1.9571093789168768,0.4892773447292192,1.3137386622173446,4.0,2.2142857142857144,3.0,4.0,2.1726748985903606,0.5431687246475901,1.3880622684955597,2.357142857142857,2.892857142857143,4.0,2.1556342031274522,0.5389085507818631,1.3815986897264207,1.5357142857142858,2.0714285714285716,3.2142857142857144,1.6078672579356603,0.4019668144839151,1.1817589061600822,1.9285714285714286,2.4642857142857144,3.7857142857142856,1.8922611560140337,0.4730652890035084,1.3035347844873155
lora,8,112,3.2767857142857144,4.473214285714286,7.026785714285714,1,5,2,7,4,8,2.989151888660022,0.37364398608250277,1.549089444535119,8.0,4.178571428571429,5.535714285714286,7.678571428571429,3.483242554324014,0.43540531929050175,1.6320801845618658,3.75,5.178571428571429,7.571428571428571,3.2759592958859036,0.40949491198573795,1.590703776904515,2.3214285714285716,3.107142857142857,5.857142857142857,2.3197937267167226,0.2899742158395903,1.3964921491486686,2.857142857142857,4.071428571428571,7.0,2.877611977713449,0.3597014972141811,1.5770816675254278
lora,16,112,6.133928571428571,8.955357142857142,13.830357142857142,1,11,2,13,8,16,5.058336982769625,0.3161460614231016,1.9189924650958605,16.0,8.714285714285714,11.464285714285714,14.964285714285714,6.955318604196821,0.4347074127623013,2.3248238265514374,7.178571428571429,10.214285714285714,14.607142857142858,5.487044879368374,0.34294030496052336,1.9160845535142081,3.392857142857143,5.678571428571429,11.821428571428571,3.2981403853212083,0.20613377408257552,1.5914757209164756,5.25,8.464285714285714,13.928571428571429,4.492844062192099,0.2808027538870062,1.8435857594013214
lora,32,112,12.910714285714286,18.723214285714285,27.839285714285715,2,21,3,26,16,31,9.198620185256004,0.28745688078925014,2.4575436221701756,32.0,17.642857142857142,23.0,29.75,13.294338737215314,0.4154480855379786,3.0722747530256,14.357142857142858,20.142857142857142,28.714285714285715,9.45310172012874,0.29540942875402315,2.2819920437676564,6.357142857142857,11.928571428571429,24.178571428571427,4.962340320859637,0.15507313502686365,1.8475768310683114,13.285714285714286,19.821428571428573,28.714285714285715,9.084699962820325,0.28389687383813517,2.6283308608191356
lora,64,112,26.973214285714285,38.482142857142854,55.669642857142854,4,38,12,48,39,60,17.572100977812493,0.2745640777783202,3.215274186006614,64.0,34.25,45.107142857142854,58.892857142857146,25.424593891416276,0.3972592795533793,4.241051856960569,27.821428571428573,39.607142857142854,56.535714285714285,17.211950063705444,0.26893671974539757,2.9144386606557027,14.821428571428571,26.571428571428573,49.214285714285715,8.095387143748146,0.1264904241210648,2.127766332456044,31.0,42.642857142857146,58.035714285714285,19.55647281238011,0.30556988769343923,3.577839893954141
qlora,4,112,1.9196428571428572,2.5357142857142856,3.6785714285714284,1,3,1,4,2,4,1.9311647479023253,0.4827911869755813,1.301916316151619,4.0,2.2857142857142856,2.9642857142857144,4.0,2.2071782180241177,0.5517945545060294,1.3850861745221275,2.1785714285714284,2.892857142857143,4.0,2.079170537846429,0.5197926344616073,1.3347971183913094,1.3571428571428572,2.0714285714285716,3.107142857142857,1.5518812792641776,0.3879703198160444,1.1531391782420022,1.8571428571428572,2.2142857142857144,3.607142857142857,1.8864289564745766,0.47160723911864416,1.3346427934510368
qlora,8,112,3.044642857142857,4.25,6.758928571428571,1,5,1,7,3,8,2.866840658443315,0.35835508230541435,1.5203281098178454,8.0,3.9285714285714284,5.25,7.571428571428571,3.3865819232804433,0.4233227404100554,1.633001378604344,3.5714285714285716,5.071428571428571,7.357142857142857,3.169746552194868,0.3962183190243585,1.5443944803306036,2.107142857142857,3.0,5.5,2.247546476977212,0.2809433096221515,1.3950803322451455,2.5714285714285716,3.6785714285714284,6.607142857142857,2.6634876813207353,0.3329359601650919,1.508836248091289
qlora,16,112,5.598214285714286,8.25,13.401785714285714,1,10,2,13,7,15,4.657521525663989,0.2910950953539993,1.828689306974411,16.0,8.071428571428571,10.928571428571429,14.678571428571429,6.205167089189802,0.3878229430743626,2.1004720457962582,6.714285714285714,9.607142857142858,14.214285714285714,5.189289706093924,0.32433060663087027,1.8763876046453203,3.0714285714285716,4.964285714285714,11.321428571428571,3.102422888789858,0.19390143054936612,1.5507225394248962,4.535714285714286,7.5,13.392857142857142,4.133206418582371,0.2583254011613982,1.7871750380311693
qlora,32,112,11.571428571428571,17.428571428571427,27.071428571428573,2,20,2,25,13,30,8.220213796411242,0.2568816811378513,2.304257243871689,32.0,16.25,21.857142857142858,29.25,11.703705549240112,0.3657407984137535,2.769642527614321,13.071428571428571,19.142857142857142,28.214285714285715,8.734376158033099,0.27294925493853434,2.209323282752718,5.5,10.607142857142858,22.857142857142858,4.565857691424234,0.1426830528570073,1.7986802543912614,11.464285714285714,18.107142857142858,27.964285714285715,7.876915786947523,0.24615361834211008,2.4393829107284546
qlora,64,112,24.660714285714285,36.160714285714285,54.517857142857146,3,37,9,47,35,60,15.5854844472238,0.24352319448787188,2.9922641590237617,64.0,32.25,43.32142857142857,58.107142857142854,22.46940008231572,0.3510843762861831,3.8230101466178894,26.107142857142858,37.92857142857143,55.75,15.725883313587733,0.24571692677480833,2.8134113677910397,12.321428571428571,23.428571428571427,47.285714285714285,7.154745553221021,0.11179289926907846,2.0153988855225697,27.964285714285715,39.964285714285715,56.92857142857143,16.991908839770726,0.2654985756214176,3.317236236163548
